,Threshold,Detection_rate,Hit_rate
0,0.0,1.0,0.006606110652353427
1,0.01,0.037159372419488024,0.12222222222222222
2,0.02,0.037159372419488024,0.12222222222222222
3,0.03,0.037159372419488024,0.12222222222222222
4,0.04,0.037159372419488024,0.12222222222222222
5,0.05,0.037159372419488024,0.12222222222222222
6,0.06,0.037159372419488024,0.12222222222222222
7,0.07,0.037159372419488024,0.12222222222222222
8,0.08,0.037159372419488024,0.12222222222222222
9,0.09,0.037159372419488024,0.12222222222222222
10,0.1,0.037159372419488024,0.12222222222222222
11,0.11,0.037159372419488024,0.12222222222222222
12,0.12,0.012386457473162676,0.2
13,0.13,0.011147811725846408,0.2222222222222222
14,0.14,0.011147811725846408,0.2222222222222222
15,0.15,0.011147811725846408,0.2222222222222222
16,0.16,0.011147811725846408,0.2222222222222222
17,0.17,0.004541701073492981,0.45454545454545453
18,0.18,0.004541701073492981,0.45454545454545453
19,0.19,0.004541701073492981,0.45454545454545453
20,0.2,0.004541701073492981,0.45454545454545453
21,0.21,0.004541701073492981,0.45454545454545453
22,0.22,0.004541701073492981,0.45454545454545453
23,0.23,0.004541701073492981,0.45454545454545453
24,0.24,0.004541701073492981,0.45454545454545453
25,0.25,0.004541701073492981,0.45454545454545453
26,0.26,0.004541701073492981,0.45454545454545453
27,0.27,0.004541701073492981,0.45454545454545453
28,0.28,0.004541701073492981,0.45454545454545453
29,0.29,0.004541701073492981,0.45454545454545453
30,0.3,0.004541701073492981,0.45454545454545453
31,0.31,0.0008257638315441783,1.0
32,0.32,0.0008257638315441783,1.0
33,0.33,0.0008257638315441783,1.0
34,0.34,0.0008257638315441783,1.0
35,0.35000000000000003,0.0008257638315441783,1.0
36,0.36,0.0008257638315441783,1.0
37,0.37,0.0008257638315441783,1.0
38,0.38,0.0008257638315441783,1.0
39,0.39,0.0008257638315441783,1.0
40,0.4,0.0008257638315441783,1.0
41,0.41000000000000003,0.0008257638315441783,1.0
42,0.42,0.0008257638315441783,1.0
43,0.43,0.0008257638315441783,1.0
44,0.44,0.0008257638315441783,1.0
45,0.45,0.0008257638315441783,1.0
46,0.46,0.0008257638315441783,1.0
47,0.47000000000000003,0.0008257638315441783,1.0
48,0.48,0.0008257638315441783,1.0
49,0.49,0.0008257638315441783,1.0
50,0.5,0.0008257638315441783,1.0
51,0.51,0.0008257638315441783,1.0
52,0.52,0.0008257638315441783,1.0
53,0.53,0.0008257638315441783,1.0
54,0.54,0.0008257638315441783,1.0
55,0.55,0.0008257638315441783,1.0
56,0.56,0.0008257638315441783,1.0
57,0.5700000000000001,0.0008257638315441783,1.0
58,0.58,0.0008257638315441783,1.0
59,0.59,0.0008257638315441783,1.0
60,0.6,0.0008257638315441783,1.0
61,0.61,0.0008257638315441783,1.0
62,0.62,0.0008257638315441783,1.0
63,0.63,0.0008257638315441783,1.0
64,0.64,0.0008257638315441783,1.0
65,0.65,0.0008257638315441783,1.0
66,0.66,0.0008257638315441783,1.0
67,0.67,0.0008257638315441783,1.0
68,0.68,0.0008257638315441783,1.0
69,0.6900000000000001,0.0008257638315441783,1.0
70,0.7000000000000001,0.0008257638315441783,1.0
71,0.71,0.0008257638315441783,1.0
72,0.72,0.0008257638315441783,1.0
73,0.73,0.0008257638315441783,1.0
74,0.74,0.0008257638315441783,1.0
75,0.75,0.0008257638315441783,1.0
76,0.76,0.0008257638315441783,1.0
77,0.77,0.0008257638315441783,1.0
78,0.78,0.0008257638315441783,1.0
79,0.79,0.0008257638315441783,1.0
80,0.8,0.0008257638315441783,1.0
81,0.81,0.0008257638315441783,1.0
82,0.8200000000000001,0.0008257638315441783,1.0
83,0.8300000000000001,0.0008257638315441783,1.0
84,0.84,0.0008257638315441783,1.0
85,0.85,0.0008257638315441783,1.0
86,0.86,0.0008257638315441783,1.0
87,0.87,0.0008257638315441783,1.0
88,0.88,0.0008257638315441783,1.0
89,0.89,0.0008257638315441783,1.0
90,0.9,0.0008257638315441783,1.0
91,0.91,0.0008257638315441783,1.0
92,0.92,0.00041288191577208916,1.0
93,0.93,0.00041288191577208916,1.0
94,0.9400000000000001,0.00041288191577208916,1.0
95,0.9500000000000001,0.00041288191577208916,1.0
96,0.96,0.00041288191577208916,1.0
97,0.97,0.00041288191577208916,1.0
98,0.98,0.00041288191577208916,1.0
99,0.99,0.00041288191577208916,1.0
