,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,EasinessToStage,ClaimWihoutIdentifiedThirdParty,ClaimAmount,PolicyHolderAge,NumberOfBodilyInjuries,FirstPartyLiability,Fraud,ClaimInvolvedCovers_MaterialDamages,ClaimInvolvedCovers_ActLiability,ClaimInvolvedCovers_Windscreen,ClaimInvolvedCovers_Accessories,ClaimInvolvedCovers_ThirdParty,ClaimInvolvedCovers_Theft,ClaimInvolvedCovers_ThirdPartyMaterialDamages,ClaimInvolvedCovers_Burglary,ClaimInvolvedCovers_NaturalCatastrophes,ClaimInvolvedCovers_MedicalCare,ClaimInvolvedCovers_ReplacementVehicle,ClaimInvolvedCovers_Fire,ClaimInvolvedCovers_RiderClothes,Date_diff,LH_0-3,LH_12-15,LH_16-19,LH_20-23,LH_4-7,LH_8-11,CBP_NoConnection,CBP_SameAddress,CBP_SameBankAccount,CBP_SameEmail,CBP_SamePhone,CBP_SamePolice,PO_CivilServant,PO_Employee,PO_Executive,PO_Farmer,PO_HeadOfCompany,PO_Merchant,PO_Retired,PO_SelfEmployed,PO_Student,PO_Unemployed,PO_Worker,CC_AccidentOrCollision,CC_AccidentWithIdentifiedThirdParty,CC_AccidentWithUnidentifiedThirdParty,CC_CollisionWithAnimal,CC_CollisionWithPedestrian,CC_Fire,CC_Flood,CC_ForcesOfNature,CC_Hail,CC_LegalProtection,CC_LossOfControl,CC_MultiVehicleCrash,CC_Storm,CC_TheftAttempt,CC_TheftOfExteriorElements,CC_TotalTheft,CC_Vandalism,CC_WindscreenDamage,DI_Medium,DI_Negligible,DI_TotalLoss,FPVT_Car,FPVT_Caravan,FPVT_Motorcycle,FPVT_PrivateCar
14,0,2,102.0,0.5,1,120.52,68.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,693,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
15,1,3,93.0,0.25,0,19500.0,30.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16,0,1,225.0,0.5,1,491.87,36.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,368,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
17,1,1,182.0,0.25,0,950.0,18.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,0,1,105.0,0.15,0,3089.4,28.0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,211,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
19,0,2,3.0,0.25,1,1087.15,61.0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,130,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
20,1,1,135.0,0.5,1,0.0,24.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,259,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
21,1,1,24.0,0.5,1,1536.82,51.0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,188,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
22,0,3,224.0,0.5,1,368.88,51.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,691,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
23,0,1,120.0,0.25,1,1041.26,65.0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
24,0,1,146.0,0.25,1,1825.34,28.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
25,1,1,252.0,0.5,1,0.0,35.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,375,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
26,0,1,205.0,0.5,1,0.0,19.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
27,0,1,31.0,0.25,0,2912.22,70.0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
28,0,3,126.0,0.25,0,5305.96,56.0,0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,476,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29,0,1,11.0,0.5,1,99.98,34.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,331,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
30,0,3,124.0,0.25,0,2749.84,43.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,526,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
31,0,3,97.0,0.5,1,137.1,40.0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
32,1,1,2.0,0.5,1,0.0,55.0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
33,0,2,140.0,0.25,0,9002.21,30.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,183,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
34,0,1,117.0,0.5,1,224.7,47.0,0,0.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,515,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
35,1,1,251.0,0.5,1,638.77,52.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,317,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
36,0,1,86.0,0.5,1,5543.47,29.0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,344,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
37,0,2,106.0,0.5,1,0.0,83.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
38,0,3,177.0,0.25,0,0.0,33.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
39,1,1,231.0,0.25,0,0.0,31.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,329,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
40,0,2,185.0,0.25,1,0.0,28.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41,0,1,48.0,0.25,0,833.71,69.0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,321,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
42,1,1,127.0,0.5,1,0.0,25.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,347,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
43,0,1,150.0,0.25,1,124.74,49.0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,235,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
44,0,1,78.0,0.15,0,6637.91,40.0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,46,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
45,0,2,172.0,0.25,0,3997.97,47.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,241,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
46,0,2,49.0,0.25,0,1482.0,43.0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,609,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
47,0,1,33.0,0.25,1,174.35,46.0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,374,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
48,1,1,263.0,0.15,0,4491.24,20.0,0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,204,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
49,0,2,94.0,0.0,0,6259.42,32.0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,706,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
50,0,1,187.0,0.25,0,3186.6,38.0,0,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,177,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
